,Question,Answer,Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId,SourceDisplayName,n_tokens
0,是否須由本人親自到旅遊醫學門診掛號開立國際預防接種證明書（黃皮書）？,A4：是，國際預防接種證明書（黃皮書）原則由本人親至旅遊醫學合約醫院（旅醫門診）掛號開立。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],8,cdc,108
1,原預計住院或轉院之病人，已完成採檢，但因故未住院/轉院，可否申報？,*   醫療院所於受理後已完成採檢檢驗，雖病人後續因故未住院或轉院，但由於此情形不可歸責於醫院，故此筆資料仍可以「住院者」(自費特材群組序號002)申報，其陪病者亦可以「住院陪病者」(自費特材群組序號003)申報。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,"[{""ClusterHead"":""自費住院病人是否適用「住院者」"",""TotalAutoSuggestedCount"":1,""TotalUserSuggestedCount"":0,""AlternateQuestionList"":[{""Question"":""自費住院病人是否適用「住院者」"",""AutoSuggestedCount"":1,""UserSuggestedCount"":0}]}]",False,[],15,cdc,223
2,自費住院病人是否適用「住院者」 (自費特材群組序號002)公費篩檢？,*   醫院依病人治療之急迫性及必要性等，評估須入院治療者，不論自費或健保住院，均適用「住院者」 (自費特材群組序號002) 申報；其陪病者亦得依「住院陪病者」(自費特材群組序號003)給付條件申報。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],17,cdc,207
3,原排定之陪病者己完成採檢，但因故更換，病人是否仍可請院方提供公費檢驗？,*   不可以。目前每次住院僅限由公費支付陪病者1人次的篩檢費用；住院者若為矯正機關之收容人，則其陪病者（戒護人員）每次住院至多得由公費支付2人次。若該次住院的陪病人數超過前揭範圍，均需採自費方式辦理。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],19,cdc,226
4,病人原入住一般病房，陪病者也已完成採檢，後來病人因醫療需要轉入加護病房治療，陪病者於病人入住加護病房期間返回社區，於病人轉回一般病房後，該陪病者是否仍可請院方提供公費檢驗？,*   住院病人因醫療需要轉入他病房(如：加護病房)治療，致陪病者無法陪病而離院兩晚(含)以上，於病人轉回一般病房後，陪病者返回醫院陪病時視同入院篩檢，檢驗方式可採SARS-CoV-2病毒核酸檢驗和抗原快速檢驗二者擇一或同時執行，檢驗費用由公費支應。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],20,cdc,272
5,居家隔離/居家檢疫中之門診及急診病人之陪病者，及高社區傳播風險地區（臺北市及新北市）急診之陪病者，是否為COVID-19公費抗原快速檢驗之適用對象？,*   依據110年7月1日肺中指字第1103800329號函，居家隔離/居家檢疫中之門診及急診病人（自費特材群組序號007），以及高社區傳播風險地區（臺北市及新北市）急診病人（自費特材群組序號008），得申報公費抗原快速檢驗，惟其陪病者並未納入。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],28,cdc,249
6,「其他經衛生主管機關指定之採檢對象」（自費特材群組序號011）所指對象為何？,*   此類專案係指為因應特殊情形，由指揮中心啟動辦理，指定自費特材群組序號001~010以外之對象所進行之採檢。專案名稱請醫療院所自行註記備查。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],31,cdc,156
7,同一自費特材群組序號可否同時申報抗原快速檢驗及病毒核酸檢驗費用？,*   若申報之自費特材群組序號，可適用抗原快速檢驗及病毒核酸檢驗費用，如自費特材群組序號001~003，經醫師評估有需要時，可同時執行抗原快速檢驗及病毒核酸檢驗並進行申報。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,"[{""ClusterHead"":""各自費特材群組序號實施時間前之案件，可否申報？"",""TotalAutoSuggestedCount"":6,""TotalUserSuggestedCount"":0,""AlternateQuestionList"":[{""Question"":""各自費特材群組序號實施時間前之案件，可否申報？"",""AutoSuggestedCount"":6,""UserSuggestedCount"":0}]}]",False,[],33,cdc,195
8,執行「COVID-19公費檢驗適用對象」表中列為「不適用」之檢驗項目，能否進行申報？,*   請依各自費特材群組序號適用之檢驗項目進行申報。若申報不適用之項目，將會遭到退件。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],34,cdc,93
9,「醫院高風險單位工作人員定期採檢」能否申報公費抗原快速檢驗費用？,*   不可以。請依各自費特材群組序號適用之檢驗項目進行申報。若申報不適用之項目，將會遭到退件。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],35,cdc,100
10,使用衛生單位提供之免費抗原快速檢驗試劑檢驗之個案，有透過健保IC卡上傳檢驗結果，可否申報抗原快速檢驗費用？,*   不可以。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],36,cdc,10
11,各自費特材群組序號實施時間前之案件，可否申報？,*   請依「COVID-19公費檢驗適用對象」一表中之實施時間範圍，進行申報。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],37,cdc,66
12,已透過健保IC卡上傳檢驗結果之案件，是否仍需進行申報作業？,*   已透過健保IC卡上傳檢驗結果之案件，不論檢驗結果為陽性或陰性，均需依「公費支付COVID-19檢驗費用申報及核付作業」進行申報，才會核付相關費用。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],38,cdc,156
13,自費特材群組004含長照機構住民/矯正機關收容人採檢，註3說明矯正機關收容人，自110年8月1日起實施池化作業，但如何與同樣屬於004的長照機構住民區隔？未來會不會導致醫院被核刪或清查說明困擾等。,*   申報時，矯正機關須填報矯正機關代號，並以池化醫令代碼(E5004C)申報。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],41,cdc,76
14,註3的池化比例規定為1:5，但案件可能會有零基，最後一批如為1:3，申報代碼與給付金額為何？,"*   池化比例規定為至多1:5，所有池化適用對象，均以池化給付，為1,200元。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],42,cdc,80
